Player ID,First Name,Last Name,Team,Season,Roster URL,Position,Height,Class
14420,Mason,Oberg,Cal State Los Angeles,2025-26,https://lagoldeneagles.com/sports/womens-basketball/stats/2025-26,,,
14421,Ayanna,Thompson,SMU,2025-26,,,,
14422,Mary Ashley,Stevenson,Stanford,2025-26,,,,
14437,Eliza,DiGiulio,UNRESOLVED (-1),2025-26,,,,
14438,Keeley,Wright,UNRESOLVED (-1),2025-26,,,,
14439,Gracie,Arnold,UNRESOLVED (-1),2025-26,,,,
14440,Bridgette,McIntyre,UNRESOLVED (-1),2025-26,,,,
14441,Millie,Day,UNRESOLVED (-1),2025-26,,,,
14442,Lydia,Traore,UNRESOLVED (-1),2025-26,,,,
14443,Sage,Winslow,UNRESOLVED (-1),2025-26,,,,
14444,Shakia,Teague-Perry,UNRESOLVED (-1),2025-26,,,,
14445,Jenika,Zurita,UNRESOLVED (-1),2025-26,,,,
14446,Taylee,Clements,UNRESOLVED (-1),2025-26,,,,
14447,Kai'Lani,Aoki,UNRESOLVED (-1),2025-26,,,,
14448,Kyla,Albee,UNRESOLVED (-1),2025-26,,,,
14449,Paige,Worthem,UNRESOLVED (-1),2025-26,,,,
14450,Asia,Jackson,San Francisco State,2025-26,https://sfstategators.com/sports/womens-basketball/stats/2025-26,,,
14467,Christen,Ziska,UNRESOLVED (-1),2025-26,,,,
14469,Nia,Johnson,UNRESOLVED (-1),2025-26,,,,
14481,Aaliyah,Dias,Cal State Stanislaus,2025-26,https://warriorathletics.com/sports/womens-basketball/stats/2025-26,,,
14482,Kylie,Kulina,Cal State Stanislaus,2025-26,https://warriorathletics.com/sports/womens-basketball/stats/2025-26,,,
14483,Women's Basketball,TMTeam,Cal State Stanislaus,2025-26,https://warriorathletics.com/sports/womens-basketball/stats/2025-26,,,
14484,Sabrina,Flowers,UNRESOLVED (-1),2025-26,,,,
14485,Maddie,Gerhart,UNRESOLVED (-1),2025-26,,,,
14486,Ayden,Krupke,UNRESOLVED (-1),2025-26,,,,
14487,Ciena,Tumoine,UNRESOLVED (-1),2025-26,,,,
14488,Kenzi,Pederson,UNRESOLVED (-1),2025-26,,,,
14489,Kyra,Quinn,UNRESOLVED (-1),2025-26,,,,
14490,Karlee,VonMoos,UNRESOLVED (-1),2025-26,,,,
14491,Eliana,Fleming,UNRESOLVED (-1),2025-26,,,,
14492,Katie,Spillum,UNRESOLVED (-1),2025-26,,,,
14493,Dayvis,Key,UNRESOLVED (-1),2025-26,,,,
14494,Jaycee,Stiegeler,UNRESOLVED (-1),2025-26,,,,
14502,Elisabeth,Gadient,UNRESOLVED (-1),2025-26,,,,
14503,August,Palmer,UNRESOLVED (-1),2025-26,,,,
14506,Emilia,Sierra Lacost,Wheeling,2025-26,https://wucardinals.com/sports/womens-basketball/stats/2025-26,,,
14510,Liv,Bolduc,Wheeling,2025-26,https://wucardinals.com/sports/womens-basketball/stats/2025-26,,,
14520,Alexis,Ferguson,Bloomsburg,2025-26,https://bloomsburgathletics.com/sports/womens-basketball/stats/2025-26,,,
14534,Kayley,Joseph-Bernar,Slippery Rock,2025-26,https://rockathletics.com/sports/womens-basketball/stats/2025-26,,,
14550,Jamie,Molina,UNRESOLVED (-1),2025-26,,,,
14551,EmmaJo,Locks,UNRESOLVED (-1),2025-26,,,,
14552,Carson,Schanbacher,UNRESOLVED (-1),2025-26,,,,
14553,Mattie,Rich,UNRESOLVED (-1),2025-26,,,,
14554,Aaliyah,Smith,UNRESOLVED (-1),2025-26,,,,
14572,Natalie,Magallnes,Western New Mexico,2025-26,https://wnmumustangs.com/sports/womens-basketball/stats/2025-26,,,
14575,Breanna,Morrison,UNRESOLVED (-1),2025-26,,,,
14591,Briann,Warehime,Midwestern State,2025-26,https://msumustangs.com/sports/womens-basketball/stats/2025-26,,,
14595,Kyra,Taylor,UNRESOLVED (-1),2025-26,,,,
14596,Mikah,Hammerquist,UNRESOLVED (-1),2025-26,,,,
14597,Amyah,Williams-Woodmore,UNRESOLVED (-1),2025-26,,,,
14598,Dana,Imankulova,UNRESOLVED (-1),2025-26,,,,
14599,Maizen,Gillam,UNRESOLVED (-1),2025-26,,,,
14600,Dana,Parker,UNRESOLVED (-1),2025-26,,,,
14601,Amaree,Henderson,UNRESOLVED (-1),2025-26,,,,
14602,Gillian,Rodgers,UNRESOLVED (-1),2025-26,,,,
14603,Kenya,McCain,UNRESOLVED (-1),2025-26,,,,
14604,Skylar,Bencsek,UNRESOLVED (-1),2025-26,,,,
14605,Lauren,Young,UNRESOLVED (-1),2025-26,,,,
14608,Ahmirah,Taylor,Benedict,2025-26,https://benedicttigers.com/sports/womens-basketball/stats/2025-26,,,
14610,Kira,Williams,Savannah State,2025-26,https://ssuathletics.com/sports/womens-basketball/stats/2025-26,,,
14612,Morgan,Defoor,UNRESOLVED (-1),2025-26,,,,
14613,Andrea,Seay,UNRESOLVED (-1),2025-26,,,,
14614,Ranyia,Murphy,UNRESOLVED (-1),2025-26,,,,
14615,Kyndall,Thompson,UNRESOLVED (-1),2025-26,,,,
14616,Kia,Gurton,UNRESOLVED (-1),2025-26,,,,
14617,Calise,Mathis,UNRESOLVED (-1),2025-26,,,,
14618,Christen,Stone,UNRESOLVED (-1),2025-26,,,,
14619,Precious,Hereford,UNRESOLVED (-1),2025-26,,,,
14620,Janiesse,Armstrong,UNRESOLVED (-1),2025-26,,,,
14621,Curstine,Ellis,UNRESOLVED (-1),2025-26,,,,
14626,Jemihya,Carter,LeMoyne-Owen,2025-26,https://athletics.loc.edu/sports/womens-basketball/stats/2025-26,,,
14627,Ja'Nya,Foster,Lane,2025-26,https://golcdragons.com/sports/womens-basketball/stats/2025-26,,,
14647,Kate,Gallery,UNRESOLVED (-1),2025-26,,,,
14648,Savanna,Staff,UNRESOLVED (-1),2025-26,,,,
14656,Brya Brooklyn,Arroyo-Gillcrese,Adams State,2025-26,https://asugrizzlies.com/sports/womens-basketball/stats/2025-26,,,
14658,Madison,Johnson,UNRESOLVED (-1),2025-26,,,,
14659,Gianna,Whiteside,UNRESOLVED (-1),2025-26,,,,
14660,Noa Gloria,Bravo Hernandez,UNRESOLVED (-1),2025-26,,,,
14662,Lauren,Gould,UNRESOLVED (-1),2025-26,,,,
14663,Jasmyne,Tores,UNRESOLVED (-1),2025-26,,,,
14664,Mylina,Pluff,UNRESOLVED (-1),2025-26,,,,
14665,Kaylee,Wilson,UNRESOLVED (-1),2025-26,,,,
14666,Wicahpi,Cuny,UNRESOLVED (-1),2025-26,,,,
14667,Sophie,Bronson,UNRESOLVED (-1),2025-26,,,,
14668,Tala,Mitchell,UNRESOLVED (-1),2025-26,,,,
14669,Zoey,Juan,UNRESOLVED (-1),2025-26,,,,
14670,Aliesha,Solomon,UNRESOLVED (-1),2025-26,,,,
14671,Lea,Armour,UNRESOLVED (-1),2025-26,,,,
14672,Jade,Liulamaga,UNRESOLVED (-1),2025-26,,,,
14673,Ciara,Cargo-Acosta,UNRESOLVED (-1),2025-26,,,,
14674,Raven,Solomon,UNRESOLVED (-1),2025-26,,,,
14679,Audrey,Counts,UNRESOLVED (-1),2025-26,,,,
14680,Macy,Freeze,UNRESOLVED (-1),2025-26,,,,
14702,Kaylee,Marvin,Daemen,2025-26,https://daemenwildcats.com/sports/womens-basketball/stats/2025-26,,,
14707,Júlia,Garcia Roig,Drexel,2025-26,,,,
14723,S.,Formby,Felician,2025-26,https://felicianuathletics.com/sports/womens-basketball/stats/2025-26,,,
14724,A.,Valle,Felician,2025-26,https://felicianuathletics.com/sports/womens-basketball/stats/2025-26,,,
14725,M.,Palek,Felician,2025-26,https://felicianuathletics.com/sports/womens-basketball/stats/2025-26,,,
14726,K.,Barreno,Felician,2025-26,https://felicianuathletics.com/sports/womens-basketball/stats/2025-26,,,
14727,L.,Szilvassy,Felician,2025-26,https://felicianuathletics.com/sports/womens-basketball/stats/2025-26,,,
14728,K.,Ritchie,Felician,2025-26,https://felicianuathletics.com/sports/womens-basketball/stats/2025-26,,,
14729,D.,Jackson,Felician,2025-26,https://felicianuathletics.com/sports/womens-basketball/stats/2025-26,,,
14730,S.,Martinez,Felician,2025-26,https://felicianuathletics.com/sports/womens-basketball/stats/2025-26,,,
14752,Anylah,Bowe,Elizabeth City State,2025-26,https://ecsuvikings.com/sports/womens-basketball/stats/2025-26,,,
14762,Jaidyn,Harper,UNRESOLVED (-1),2025-26,,,,
14763,Anala,Nelson,UNRESOLVED (-1),2025-26,,,,
14764,Lucy,Hood,UNRESOLVED (-1),2025-26,,,,
14765,Carmen,Richardson,UNRESOLVED (-1),2025-26,,,,
14766,Meghan,Downing,East Tennessee State,2025-26,,,,
14767,Paige,Lyons,UNRESOLVED (-1),2025-26,,,,
14768,SaBreya,Monsanto,UNRESOLVED (-1),2025-26,,,,
14769,Emmah,McAmis,UNRESOLVED (-1),2025-26,,,,
14770,Gemma,GrÃ¼ttner Baco,UNRESOLVED (-1),2025-26,,,,
14771,Lucia,France,UNRESOLVED (-1),2025-26,,,,
14772,Kennedy,Younkin,UNRESOLVED (-1),2025-26,,,,
14773,Yanessa,Boyd,UNRESOLVED (-1),2025-26,,,,
14774,Maya,McCorkle,UNRESOLVED (-1),2025-26,,,,
14775,Yorie,WATSON,UNRESOLVED (-1),2025-26,,,,
14776,Jazmyne,LYDE,UNRESOLVED (-1),2025-26,,,,
14777,Taniyah,WESTON,UNRESOLVED (-1),2025-26,,,,
14778,PaNajala,CURRY,UNRESOLVED (-1),2025-26,,,,
14779,Skye,MCCREA,UNRESOLVED (-1),2025-26,,,,
14780,Shakira,JACKSON,UNRESOLVED (-1),2025-26,,,,
14781,Zoey,MCMIKERS,UNRESOLVED (-1),2025-26,,,,
14782,Alaya,GRANE,UNRESOLVED (-1),2025-26,,,,
14783,Jada,TEASLEY,UNRESOLVED (-1),2025-26,,,,
14784,Cazaria,BRITT,UNRESOLVED (-1),2025-26,,,,
